criando ST...
arquivo lido e ST construida em 0.007876 segundos
Possiveis operacoes do teste interativo:
minST, delminST, getST <chave>; rankST <chave>, deleteST <chave>, selectST <int>
CRTL-D para encerrar.
>>> Posição 0 = A
selectST executado em 0.000187 segundos.
>>> Posição 1 = Admodum
selectST executado em 0.002468 segundos.
>>> Posição 2 = Aenean
selectST executado em 0.003999 segundos.
>>> Posição 3 = Atirei
selectST executado em 0.003119 segundos.
>>> Posição 4 = Casamentiss
selectST executado em 0.006156 segundos.
>>> Posição 5 = Cevadis
selectST executado em 0.006688 segundos.
>>> Posição 6 = Copo
selectST executado em 0.00044 segundos.
>>> Posição 7 = Delegadis
selectST executado em 0.002507 segundos.
>>> Posição 8 = Detraxit
selectST executado em 0.003715 segundos.
>>> Posição 9 = Diuretics
selectST executado em 0.005155 segundos.
>>> Posição 10 = Em
selectST executado em 0.00463 segundos.
>>> Posição 11 = Forevis
selectST executado em 0.001993 segundos.
>>> Posição 12 = In
selectST executado em 0.005151 segundos.
>>> Posição 13 = Interagi
selectST executado em 0.002667 segundos.
>>> Posição 14 = Interessantiss
selectST executado em 0.004682 segundos.
>>> Posição 15 = Ipsum
selectST executado em 0.003081 segundos.
>>> Posição 16 = Leite
selectST executado em 0.006887 segundos.
>>> Posição 17 = Mais
selectST executado em 0.006631 segundos.
>>> Posição 18 = Manduma
selectST executado em 0.005444 segundos.
>>> Posição 19 = Mauris
selectST executado em 0.002208 segundos.
>>> Posição 20 = Mussum
selectST executado em 0.001471 segundos.
>>> Posição 21 = Mé
selectST executado em 0.000861 segundos.
>>> Posição 22 = Nam
selectST executado em 0.00689 segundos.
>>> Posição 23 = Nec
selectST executado em 0.007332 segundos.
>>> Posição 24 = Nullam
selectST executado em 0.006888 segundos.
>>> Posição 25 = Não
selectST executado em 0.004877 segundos.
>>> Posição 26 = Paisis
selectST executado em 0.005872 segundos.
>>> Posição 27 = Per
selectST executado em 0.004466 segundos.
>>> Posição 28 = Posuere
selectST executado em 0.004601 segundos.
>>> Posição 29 = Pra
selectST executado em 0.000813 segundos.
>>> Posição 30 = Praesent
selectST executado em 0.00472 segundos.
>>> Posição 31 = Quem
selectST executado em 0.005439 segundos.
>>> Posição 32 = Sapien
selectST executado em 0.00134 segundos.
>>> Posição 33 = Sed
selectST executado em 0.008115 segundos.
>>> Posição 34 = Si
selectST executado em 0.003719 segundos.
>>> Posição 35 = Suco
selectST executado em 0.007081 segundos.
>>> Posição 36 = Todo
selectST executado em 0.006503 segundos.
>>> Posição 37 = Toma
selectST executado em 0.004165 segundos.
>>> Posição 38 = Tá
selectST executado em 0.002224 segundos.
>>> Posição 39 = Ut
selectST executado em 0.006314 segundos.
>>> Posição 40 = Vehicula
selectST executado em 0.002894 segundos.
>>> Posição 41 = Vide
selectST executado em 0.002197 segundos.
>>> Posição 42 = Viva
selectST executado em 0.002104 segundos.
>>> Posição 43 = Vivamus
selectST executado em 0.007085 segundos.
>>> Posição 44 = a
selectST executado em 0.000208 segundos.
>>> Posição 45 = abertis
selectST executado em 0.001065 segundos.
>>> Posição 46 = ac
selectST executado em 0.001897 segundos.
>>> Posição 47 = accumsan
selectST executado em 0.003894 segundos.
>>> Posição 48 = ad
selectST executado em 0.00223 segundos.
>>> Posição 49 = aguis
selectST executado em 0.008123 segundos.
>>> Posição 50 = alcoolatra
selectST executado em 0.00053 segundos.
>>> Posição 51 = alegrar
selectST executado em 0.003277 segundos.
>>> Posição 52 = aliquam
selectST executado em 0.001778 segundos.
>>> Posição 53 = aliquet
selectST executado em 0.005278 segundos.
>>> Posição 54 = altera
selectST executado em 0.002841 segundos.
>>> Posição 55 = amet
selectST executado em 0.004335 segundos.
>>> Posição 56 = amistosis
selectST executado em 0.002692 segundos.
>>> Posição 57 = ampola
selectST executado em 0.00613 segundos.
>>> Posição 58 = anonimis
selectST executado em 0.004426 segundos.
>>> Posição 59 = ante
selectST executado em 0.001163 segundos.
>>> Posição 60 = aptent
selectST executado em 0.006291 segundos.
>>> Posição 61 = arcu
selectST executado em 0.001549 segundos.
>>> Posição 62 = arma
selectST executado em 0.005194 segundos.
>>> Posição 63 = as
selectST executado em 0.00621 segundos.
>>> Posição 64 = augue
selectST executado em 0.006945 segundos.
>>> Posição 65 = aumento
selectST executado em 0.00119 segundos.
>>> Posição 66 = aí
selectST executado em 0.004662 segundos.
>>> Posição 67 = bebadis
selectST executado em 0.005714 segundos.
>>> Posição 68 = bibendum
selectST executado em 0.001329 segundos.
>>> Posição 69 = blandit
selectST executado em 0.000381 segundos.
>>> Posição 70 = boa
selectST executado em 0.008172 segundos.
>>> Posição 71 = bolis
selectST executado em 0.002723 segundos.
>>> Posição 72 = bota
selectST executado em 0.002004 segundos.
>>> Posição 73 = cabeça
selectST executado em 0.004183 segundos.
>>> Posição 74 = cachacis
selectST executado em 0.004295 segundos.
>>> Posição 75 = cacilds
selectST executado em 0.00556 segundos.
>>> Posição 76 = cair
selectST executado em 0.000622 segundos.
>>> Posição 77 = capivaris
selectST executado em 0.005976 segundos.
>>> Posição 78 = caçá
selectST executado em 0.003694 segundos.
>>> Posição 79 = ce
selectST executado em 0.002549 segundos.
>>> Posição 80 = cevadiss
selectST executado em 0.007954 segundos.
>>> Posição 81 = cochilar
selectST executado em 0.00307 segundos.
>>> Posição 82 = commodo
selectST executado em 0.007206 segundos.
>>> Posição 83 = conhecidiss
selectST executado em 0.000743 segundos.
>>> Posição 84 = conheço
